ID,Compound Name,Formula,ESI_Ion_Mode_Plus,ESI_Calcm/z_Plus,ESI_Fragment_ions(m/z)_Plus,ESI_Ion_Mode_Minus,ESI_Calcm/z_Minus,ESI_Fragment_ions(m/z)_Minus,CAS,SMILES,Compound Class,Compound Source,Note,Ref
117,Conessine,C24H40N2,[M+H]+,357.3264,"357, 313, 270",,,,546-06-5,C[C@H]1[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC=C5[C@@]4(CC[C@@H](C5)N(C)C)C)CN1C,Holarrhena antidysenteriaca,Holarrhena antidysenteriaca,,"27, 28"
118,Norconessine,C23H38N2,,,,,,,,CC1C2CCC3C2(CCC4C3CC=C5C4(CCC(C5)NC)C)CN1C,Alkaloids,Holarrhena antidysenteriaca,,"27, 28"
119,Conessimine,C23H38N2,,,,,,,631-05-0,C[C@H]1[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC=C5[C@@]4(CC[C@@H](C5)N(C)C)C)CN1,Alkaloids,Holarrhena antidysenteriaca,,"27, 28"
120,Holarrhimine,C21H36N2O,,,,,,,468-31-5,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)N)C)CO)N,Alkaloids,Holarrhena antidysenteriaca,,"27, 28"
121,Paeonol,C9H10O3,[M+H]+,167.0705,"149, 122, 106",[M-H]-,469.1868,278， 229， 225,552-41-0,CC(=O)C1=C(C=C(C=C1)OC)O,Acetophenones,Paeonol,,34
122,Evodin,C26H30O8,,,,,,,1180-71-8,C[C@@]12CC[C@H]3[C@]([C@@]14[C@H](O4)C(=O)O[C@H]2C5=COC=C5)(C(=O)C[C@@H]6[C@@]37COC(=O)C[C@@H]7OC6(C)C)C,Limonins,Tetradium ruticarpum,,34
123,Ocimene,C10H16,,,,,,,3779-61-1,CC(=CC/C=C(\C)/C=C)C,Acyclic Monoterpenes,Tetradium ruticarpum,,34
124,Rutaevin,C26H30O9,,,,[M-H]-,469.1868,278， 229， 225,33237-37-5,C[C@@]12CC[C@H]3[C@]([C@@]14[C@H](O4)C(=O)O[C@H]2C5=COC=C5)([C@H](C(=O),Triterpenes,Tetradium ruticarpum,,34
125,Limonin,C26H30O8,[M+H]+,471.2016,"425, 267, 161",,,,1180-71-8,C[C@@]12CC[C@H]3[C@]([C@@]14[C@H](O4)C(=O)O[C@H]2C5=COC=C5)(C(=O)C[C@@H]6[C@@]37COC(=O)C[C@@H]7OC6(C)C)C,Limonins,Tetradium ruticarpum,,34
126,Evodol,C26H28O9,,,,,,,22318-10-1,C[C@@]12CC[C@H]3[C@]([C@@]14[C@H](O4)C(=O)O[C@H]2C5=COC=C5)(C(=O)C(=C6[C@@]37COC(=O)C[C@@H]7OC6(C)C)O)C,alcohols,Tetradium ruticarpum,,34
