ID,Compound Name,Formula,ESI_Ion_Mode_Plus,ESI_Calcm/z_Plus,ESI_Fragment_ions(m/z)_Plus,ESI_Ion_Mode_Minus,ESI_Calcm/z_Minus,ESI_Fragment_ions(m/z)_Minus,CAS,SMILES,Compound Class,Compound Source,Note,Ref
172,MONOPALMITIN,C19H38O4,[M+H]+,331.5074,"331, 313, 239, 221, 179, 165, 137, 109",,,,19670-51-0,CCCCCCCCCCCCCCCC(=O)OCC(CO)O,Fatty acid,Cannabis sativa,fruit,46
173,Palmitic acid,C16H32O2,[M+H]+,257.4315,"257, 201, 187, 173, 117, 103",[M-H]-,153.1127,"109, 91, 81, 65",57-10-3,O([H])C(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=O,Fatty acid,Cannabis sativa,fruit,46
174,"2,3-Dihydroxybenzoic acid",C7H6O4,,,,[M-H]-,163.1506,"119, 117, 91",303-38-8,O=C(O)C1=CC=CC(O)=C1O,Polyphenolic,Alpinia oxyphylla,fruit,47
175,p-Hydroxycinnamic Acid,C9H8O3,,,,,,,501-98-4,O([H])C1C([H])=C([H])C(/C(/[H])=C(\[H])/C(=O)O[H])=C([H])C=1[H],Phenolic acids,Alpinia oxyphylla,fruit,47
176,"2-Propenoic acid, 2-methyl-, (1-methylethylidene)bis(4,1-phenyleneoxy-2,1-ethanediyloxy-2,1-ethanediyloxy-2,1-ethanediyl) ester",C35H48O10,[M+NH4]+,646.3586,"646, 630, 629, 455, 380, 379, 365",[M-H]-,191.0197,"191, 173, 111, 87",56744-46-8,CC(C1=CC=C(OCCOCCOCCOC(C(C)=C)=O)C=C1)(C)C2=CC=C(OCCOCCOCCOC(C(C)=C)=O)C=C2,,"Cynanchum atratum, Cynanchum versicolor",,47
177,Citric acid,C6H8O7,,,,[M-H]-,193.0509,"193, 179, 149, 137",77-92-9,OC(CC(O)(C(O)=O)CC(O)=O)=O,Tricarboxylic acid,"Lycium chinense, Lycium barbarum",Orbitrap,48
178,3-Hydroxy-4-methoxycinnamic acid,C10H10O4,,,,,,,537-73-5,C(OC1=C(C(=C(C(=C1[H])[H])/C(=C(/C(=O)O[H])\[H])/[H])[H])O[H])([H])([H])[H],Phenolic,"Cimicifuga heracleifolia, Cimicifuga dahurica, Cimicifuga foetida",,50
179,Hyperin,C21H20O12,[M+H]+,465.10329,"304, 257, 229, 201, 165, 153",[M-H]-,269.0455,"269, 225, 151, 149",482-36-0,OC[C@@H](O1)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1OC(C(=O)3)=C(Oc(c4)c(c(O)cc(O)4)3)c(c2)cc(O)c(O)c2,Flavonoids,Nelumbo nucifera,leaf,51
180,Aloe-emodin,C15H10O5,,,,,,,481-72-1,OCC1=CC2=C(C(O)=C1)C(=O)C1=C(C=CC=C1O)C2=O,Anthraquinone,Polygonum cuspidatum,,50
181,Chlorogenic acid,C16H18O9,[M+H]+,355.1025,"355, 164, 163",,,,327-97-9 202650-88-2,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,Phenylpropanoids,"Zanthoxylum schinifolium, Zanthoxylum bungeanum",skin,52
182,(R)-(-)-Phenylephrine,C9H13NO2,[M+H]+,168.102,"168, 150",,,,59-42-7,CNC[C@H](O)c(c1)cc(O)cc1,Alkaloids,"Citrus aurantium, Citrus sinensis",fruit,53
183,Ginsenoside compound K,C36H62O8,[M+H]+,623.8914,"623, 605, 445, 428, 407, 370",,,,39262-14-1,CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@@]21C,Triterpenes,Panax ginseng,,54
184,(+)-Catechin,C15H14O6,[M+H]+,291.0864,"291, 165, 161, 147, 139, 123",[M-H]-,175.045,"176, 148, 134, 123",154-23-4,Oc(c3)c(O)cc(c3)[C@@H](O1)[C@@H](O)Cc(c(O)2)c(cc(O)c2)1,Flavonoids,"Paeonia lactiflora, Paeonia veitchii",,52
185,4-Methylumbelliferone,C10H8O3,,,,,,,5980-33-6,C(C1=C(C(=O)OC2=C1C(=C(C(=C2[H])O[H])[H])[H])[H])([H])([H])[H],Coumarin,Foeniculum vulgare,fruit,50
186,Baicalin,C21H18O11,[2M+Na]+,915.1596,"563, 470, 293",,,,21967-41-9,OC(=O)[C@@H](O1)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1Oc(c2)c(O)c(O)c(C(=O)3)c(OC(c(c4)cccc4)=C3)2,Flavonoids,Chrysanthemum indicum,flower,50
187,Myricetin,C15H10O8,[M+H]+,319.0448,"239, 228, 220, 203, 188",,,,529-44-2,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C(O)=C2)=C1,Flavonoids,Platycladus orientalis,leaf,50
188,Kaempferol,C15H10O6,[M+H]+,287.055,"287, 251, 230, 216, 187",,,,520-18-3,OC1=C2C(OC(C3=CC=C(O)C=C3)=C(O)C2=O)=CC(O)=C1,Flavonoids,Daemonorops draco,fruit,53
189,Rutin,C27H30O16,[M+H]+,611.1607,"467, 450, 305, 147",,,,153-18-4,c(c5)(O)cc(c(c52)C(C(O[C@H](O3)[C@@H]([C@H]([C@@H]([C@H]3CO[C@@H]([C@@H]4O)O[C@H]([C@@H]([C@H]4O)O)C)O)O)O)=C(O2)c(c1)ccc(O)c1O)=O)O,Flavonoids,Rubus chingii,fruit,51
190,Myricitrin,C21H20O12,[M+H]+,465.1029,"465, 320, 147, 129, 85",,,,17912-87-7,Oc(c4)cc(O1)c(c(O)4)C(=O)C(O[C@H](O3)[C@H](O)[C@H](O)[C@@H](O)[C@H](C)3)=C1c(c2)cc(O)c(O)c(O)2,Flavonoids,Albizia julibrissin,flower,51
191,Loganin,C17H26O10,[M+HCOO]-,435.1508,"435, 390, 359, 229, 221, 128, 101",,,,67596-51-4,O=C(OC)C2=COC(OC1OC(CO)C(O)C(O)C1(O))C3C2CC(O)C3(C),Iridoid,"Gentiana manshurica, Gentiana scabra, Gentiana triflora, Gentiana rigescens",,52
192,Wogonin,C16H12O5,[M+H]+,285.2744,"285, 272, 253, 242, 213, 200",[M-H]-,455.3529,"457, 456, 455, 454, 453",632-85-9,COC1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1,Flavonoids,Eucommia ulmoides,bark,52
193,Ursolic Acid,C30H48O3,,,,,,,77-52-1,C([C@]1([H])C(C([C@@]2(C(C([C@@]3(C(=C(C([C@@]4([H])[C@]3(C(C([C@]5([H])[C@@]4(C(C([C@@]([H])(C5(C([H])([H])[H])C([H])([H])[H])O[H])([H])[H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])C([H])([H])[H])([H])[H])[H])[C@]2([H])[C@@]1([H])C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])C(=O)O[H])([H])[H])([H])[H])([H])([H])[H],Triterpenoid,Cornus officinalis,fruit,44
194,Hesperetin 7-O-rutinoside,C28H34O15,[M+H]+,611.1972,"611, 594, 576, 557, 539, 527, 507, 491",[M-H]-,579.5316,"579, 460, 433, 417, 373, 363, 340",520-26-3,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,Bioflavonoids,Medicated leaven,koji agent,51
195,Naringin,C27H32O14,,,,,,,75921-89-0,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,Flavonoids,Medicated leaven,koji agent,51
196,Artemisinin,C15H22O5,[M+H]+,283.1541,"283, 131, 105, 93, 79, 67",,,,103617-15-8,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,Sesquiterpenes,Medicated leaven,koji agent,51
197,Quercetin,C15H10O7,[M+H]+,303.05,"285, 257, 239, 230, 211, 202, 183",,,,117-39-5,OC1=CC(O)=C2C(=O)C(O)=C(OC2(=C1))C3=CC=C(O)C(O)=C3,Flavonoids,Medicated leaven,koji agent,51
